"RID";"TO_EPOCH(FD,0)";"TO_EPOCH(TD,0)";"KEY";"ID";"PLAN_ID";"CONN_TYPE_ID";"ZONE_NAME";"INTERVAL_GROUP_ID";"TRANGE_GROUP_ID";"TRANGE_ID";"CURRENCY_ID";"CTL1";"CTL2";"CTL3";"SERVICE_CLASS";"PRICE";"COEF";"FS";"CL";"REPRICE_MODE";"P_FD"
9054;1577836800;1630454399;"1023.1..163.164.164.";5567;1023;1;;163;164;164;3;0;0;0;;0;;;;0;"20200101"
15936;1630454400;1640995199;"1023.1..163.164.164.";9939;1023;1;;163;164;164;3;0;0;0;;0;;;;0;"20210901"
18763;1640995200;1677628799;"1023.1..163.164.164.";9939;1023;1;;163;164;164;3;0;0;0;;0;;;;0;"20220101"
18762;1677628800;4070908800;"1023.1..163.164.164.";9939;1023;1;;163;164;164;3;0;0;0;;0;;;;0;"20230301"
9060;1577836800;1630454399;"1023.12...164.164.";5573;1023;12;;;164;164;3;0;0;0;;0;;;;0;"20200101"
15952;1630454400;1640995199;"1023.12...164.164.";9948;1023;12;;;164;164;3;0;0;0;;0;;;;0;"20210901"
18785;1640995200;1677628799;"1023.12...164.164.";9948;1023;12;;;164;164;3;0;0;0;;0;;;;0;"20220101"
18784;1677628800;4070908800;"1023.12...164.164.";9948;1023;12;;;164;164;3;0;0;0;;0;;;;0;"20230301"
15960;1630454400;1640995199;"1023.2.1756.163.164.164.";9946;1023;2;1756;163;164;164;3;1;0;0;;0.13;;;;0;"20210901"
18769;1640995200;1677628799;"1023.2.1756.163.164.164.";9946;1023;2;1756;163;164;164;3;1;0;0;;0.25;;;;0;"20220101"
18768;1677628800;4070908800;"1023.2.1756.163.164.164.";9946;1023;2;1756;163;164;164;3;1;0;0;;0.25;;;;0;"20230301"
15938;1630454400;1640995199;"1023.2.1757.165.164.164.";9949;1023;2;1757;165;164;164;3;2;0;0;;1.6;;;;0;"20210901"
18771;1640995200;1677628799;"1023.2.1757.165.164.164.";9949;1023;2;1757;165;164;164;3;2;0;0;;1.6;;;;0;"20220101"
18770;1677628800;4070908800;"1023.2.1757.165.164.164.";9949;1023;2;1757;165;164;164;3;2;0;0;;1.6;;;;0;"20230301"
15940;1630454400;1640995199;"1023.2.1758.165.164.164.";9950;1023;2;1758;165;164;164;3;2;0;0;;3.7;;;;0;"20210901"
18773;1640995200;1677628799;"1023.2.1758.165.164.164.";9950;1023;2;1758;165;164;164;3;2;0;0;;3.7;;;;0;"20220101"
18772;1677628800;4070908800;"1023.2.1758.165.164.164.";9950;1023;2;1758;165;164;164;3;2;0;0;;3.7;;;;0;"20230301"
15942;1630454400;1640995199;"1023.2.1759.165.164.164.";9937;1023;2;1759;165;164;164;3;2;0;0;;6.5;;;;0;"20210901"
18775;1640995200;1677628799;"1023.2.1759.165.164.164.";9937;1023;2;1759;165;164;164;3;2;0;0;;6.5;;;;0;"20220101"
18774;1677628800;4070908800;"1023.2.1759.165.164.164.";9937;1023;2;1759;165;164;164;3;2;0;0;;6.5;;;;0;"20230301"
15958;1630454400;1640995199;"1023.2.1760.165.164.164.";9945;1023;2;1760;165;164;164;3;2;5;0;;12;;;;0;"20210901"
18767;1640995200;1677628799;"1023.2.1760.165.164.164.";9945;1023;2;1760;165;164;164;3;2;5;0;;12;;;;0;"20220101"
18766;1677628800;4070908800;"1023.2.1760.165.164.164.";9945;1023;2;1760;165;164;164;3;2;5;0;;12;;;;0;"20230301"
15956;1630454400;1640995199;"1023.2.1761.165.164.164.";9944;1023;2;1761;165;164;164;3;2;5;0;;5.5;;;;0;"20210901"
18761;1640995200;1677628799;"1023.2.1761.165.164.164.";9944;1023;2;1761;165;164;164;3;2;5;0;;5.5;;;;0;"20220101"
18760;1677628800;4070908800;"1023.2.1761.165.164.164.";9944;1023;2;1761;165;164;164;3;2;5;0;;5.5;;;;0;"20230301"
