"RID";"TO_EPOCH(FD,0)";"TO_EPOCH(TD,0)";"KEY";"FROM_ID";"TO_ID";"RATE"
11436;1375315200;1377993599;"1.4";1;4;48.741
11438;1377993600;1380585599;"1.4";1;4;50.2578
11440;1380585600;1383263999;"1.4";1;4;48.8911
14595;1383264000;1669852799;"1.4";1;4;50
14621;1669852800;1672531199;"1.4";1;4;79.1916
14661;1672531200;1675209599;"1.4";1;4;91.3968
14701;1675209600;1677628799;"1.4";1;4;92.6604
14742;1677628800;1680307199;"1.4";1;4;99.5312
14787;1680307200;1682899199;"1.4";1;4;102.839
14817;1682899200;1685577599;"1.4";1;4;109.85
14855;1685577600;1688169599;"1.4";1;4;106.929
14895;1688169600;1690847999;"1.4";1;4;112.111
14955;1690848000;1693526399;"1.4";1;4;121.648
15054;1693526400;1696118399;"1.4";1;4;124.31
15056;1696118400;1698796799;"1.4";1;4;126.384
15095;1698796800;1701388799;"1.4";1;4;124.31
15135;1701388800;1704067199;"1.4";1;4;117.34
15175;1704067200;1706745599;"1.4";1;4;123.389
15254;1706745600;1709251199;"1.4";1;4;122.622
15260;1709251200;1711929599;"1.4";1;4;123.247
15295;1711929600;1714521599;"1.4";1;4;122.622
15294;1714521600;4070908800;"1.4";1;4;122.635
11443;1167609600;1170287999;"2.4";2;4;1.50578
11445;1170288000;1172707199;"2.4";2;4;1.4971
11447;1172707200;1175385599;"2.4";2;4;1.49807
11449;1175385600;1177977599;"2.4";2;4;1.51156
11451;1177977600;1180655999;"2.4";2;4;1.52351
11453;1180656000;1183247999;"2.4";2;4;1.51372
11455;1183248000;1185926399;"2.4";2;4;1.51109
11457;1185926400;1188604799;"2.4";2;4;1.53579
11459;1188604800;1191196799;"2.4";2;4;1.52745
11461;1191196800;1193875199;"2.4";2;4;1.5494
11463;1193875200;1196467199;"2.4";2;4;1.55957
11465;1196467200;1199145599;"2.4";2;4;1.59601
11467;1199145600;1201823999;"2.4";2;4;1.56282
11469;1201824000;1204329599;"2.4";2;4;1.57986
11471;1204329600;1207007999;"2.4";2;4;1.5898
11473;1207008000;1209599999;"2.4";2;4;1.62947
11475;1209600000;1212278399;"2.4";2;4;1.64434
11477;1212278400;1214870399;"2.4";2;4;1.63333
11479;1214870400;1217548799;"2.4";2;4;1.61652
11481;1217548800;1220227199;"2.4";2;4;1.62827
11483;1220227200;1222819199;"2.4";2;4;1.57673
11485;1222819200;1225497599;"2.4";2;4;1.58078
11487;1225497600;1228089599;"2.4";2;4;1.4925
11489;1228089600;1230767999;"2.4";2;4;1.47686
11492;1230768000;1233446399;"2.4";2;4;1.5574
11495;1233446400;1238543999;"2.4";2;4;1.48785
11497;1238544000;1241135999;"2.4";2;4;1.51273
11499;1241136000;1243814399;"2.4";2;4;1.48534
11501;1243814400;1246406399;"2.4";2;4;1.54438
11503;1246406400;1249084799;"2.4";2;4;1.54405
11505;1249084800;1251763199;"2.4";2;4;1.55839
11507;1251763200;1254355199;"2.4";2;4;1.56503
11509;1254355200;1257033599;"2.4";2;4;1.58755
11511;1257033600;1259625599;"2.4";2;4;1.59732
11513;1259625600;1262303999;"2.4";2;4;1.60274
11515;1262304000;1264982399;"2.4";2;4;1.56072
11517;1264982400;1267401599;"2.4";2;4;1.56093
11519;1267401600;1270079999;"2.4";2;4;1.52943
11521;1270080000;1272671999;"2.4";2;4;1.52385
11523;1272672000;1275350399;"2.4";2;4;1.51288
11525;1275350400;1277942399;"2.4";2;4;1.47908
11527;1277942400;1280620799;"2.4";2;4;1.4741
11529;1280620800;1283299199;"2.4";2;4;1.51295
11531;1283299200;1285891199;"2.4";2;4;1.5091
11533;1285891200;1288569599;"2.4";2;4;1.53818
11535;1288569600;1291161599;"2.4";2;4;1.57062
11537;1291161600;1293839999;"2.4";2;4;1.55204
11539;1293840000;1296518399;"2.4";2;4;1.52942
11541;1296518400;1298937599;"2.4";2;4;1.5546
11543;1298937600;1301615999;"2.4";2;4;1.56743
11545;1301616000;1304207999;"2.4";2;4;1.58832
11547;1304208000;1306886399;"2.4";2;4;1.6062
11549;1306886400;1309478399;"2.4";2;4;1.57918
11551;1309478400;1312156799;"2.4";2;4;1.58913
11553;1312156800;1314835199;"2.4";2;4;1.60455
11555;1314835200;1317427199;"2.4";2;4;1.61342
11557;1317427200;1320105599;"2.4";2;4;1.55919
11559;1320105600;1322697599;"2.4";2;4;1.57502
11561;1322697600;1325375999;"2.4";2;4;1.55621
11563;1325376000;1328054399;"2.4";2;4;1.54175
11565;1328054400;1330559999;"2.4";2;4;1.5401
11567;1330560000;1333238399;"2.4";2;4;1.54766
11569;1333238400;1335830399;"2.4";2;4;1.54183
11571;1335830400;1338508799;"2.4";2;4;1.54325
11573;1338508800;1341100799;"2.4";2;4;1.52261
11575;1341100800;1343779199;"2.4";2;4;1.51462
11577;1343779200;1346457599;"2.4";2;4;1.50057
11579;1346457600;1349049599;"2.4";2;4;1.52113
11581;1349049600;1351727999;"2.4";2;4;1.5455
11583;1351728000;1354319999;"2.4";2;4;1.53903
11585;1354320000;1356998399;"2.4";2;4;1.52549
11587;1356998400;1359676799;"2.4";2;4;1.54244
11589;1359676800;1362095999;"2.4";2;4;1.53704
11591;1362096000;1364774399;"2.4";2;4;1.51612
11593;1364774400;1367366399;"2.4";2;4;1.50414
11595;1367366400;1370044799;"2.4";2;4;1.50109
11597;1370044800;1372636799;"2.4";2;4;1.49158
11599;1372636800;1375315199;"2.4";2;4;1.51463
11601;1375315200;1377993599;"2.4";2;4;1.50851
11603;1377993600;1380585599;"2.4";2;4;1.52042
11605;1380585600;1383263999;"2.4";2;4;1.53213
11607;1383264000;1385855999;"2.4";2;4;1.54475
11609;1385856000;1388534399;"2.4";2;4;1.53096
11611;1388534400;1391212799;"2.4";2;4;1.53676
11613;1391212800;1393631999;"2.4";2;4;1.53677
11615;1393632000;1396310399;"2.4";2;4;1.54291
11617;1396310400;1398902399;"2.4";2;4;1.54503
11619;1398902400;1401580799;"2.4";2;4;1.55048
11621;1401580800;1404172799;"2.4";2;4;1.54161
11623;1404172800;1406851199;"2.4";2;4;1.54247
11625;1406851200;1409529599;"2.4";2;4;1.53847
11627;1409529600;1412121599;"2.4";2;4;1.52201
11629;1412121600;1414799999;"2.4";2;4;1.49844
11631;1414800000;1417391999;"2.4";2;4;1.48604
