"RID";"TO_EPOCH(FD,0)";"TO_EPOCH(TD,0)";"KEY";"S_IMSI";"E_IMSI";"TAP_CODE_ID";"FILIAL_ID";"IMSI_REGION"
16224;1451606400;4070908800;"202010000000000.202019999999999";"202010000000000";"202019999999999";3118;;
15859;1451606400;4070908800;"202050000000000.202059999999999";"202050000000000";"202059999999999";3119;;
16165;1451606400;4070908800;"202090000000000.202099999999999";"202090000000000";"202099999999999";3120;;
15885;1451606400;4070908800;"202100000000000.202109999999999";"202100000000000";"202109999999999";3121;;
16337;1451606400;4070908800;"202140000000000.202149999999999";"202140000000000";"202149999999999";3493;;
13044;1451606400;4070908800;"204040000000000.204049999999999";"204040000000000";"204049999999999";2484;;
15878;1451606400;4070908800;"204080000000000.204089999999999";"204080000000000";"204089999999999";2960;;
16026;1451606400;4070908800;"204120000000000.204129999999999";"204120000000000";"204129999999999";2961;;
16110;1451606400;4070908800;"204160000000000.204169999999999";"204160000000000";"204169999999999";2959;;
16045;1451606400;4070908800;"204200000000000.204209999999999";"204200000000000";"204209999999999";2958;;
15862;1451606400;4070908800;"206010000000000.206019999999999";"206010000000000";"206019999999999";3673;;
16565;1546300800;4070908800;"206050000000000.206059999999999";"206050000000000";"206059999999999";3805;;
15880;1451606400;4070908800;"206100000000000.206109999999999";"206100000000000";"206109999999999";3672;;
16109;1451606400;4070908800;"206200000000000.206209999999999";"206200000000000";"206209999999999";3042;;
16621;1546300800;4070908800;"206280000000000.206289999999999";"206280000000000";"206289999999999";3864;;
15867;1451606400;4070908800;"208010000000000.208019999999999";"208010000000000";"208019999999999";3601;;
16394;1451606400;4070908800;"208090000000000.208099999999999";"208090000000000";"208099999999999";3009;;
15870;1451606400;4070908800;"208100000000000.208109999999999";"208100000000000";"208109999999999";3602;;
16468;1451606400;4070908800;"208150000000000.208159999999999";"208150000000000";"208159999999999";3265;;
16293;1451606400;4070908800;"208200000000000.208209999999999";"208200000000000";"208209999999999";3603;;
16587;1546300800;4070908800;"208240000000000.208249999999999";"208240000000000";"208249999999999";3830;;
16577;1546300800;4070908800;"208940000000000.208949999999999";"208940000000000";"208949999999999";3820;;
16128;1451606400;4070908800;"212010000000000.212019999999999";"212010000000000";"212019999999999";2905;;
16484;1451606400;4070908800;"212100000000000.212109999999999";"212100000000000";"212109999999999";3635;;
