"RID";"FD";"TD";"KEY";"TP_CDR";"TP_CDR2";"GPRS_UNION";"GEN_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"TAP_NOTIFICATION";"TASK_RID";"NUMBER_TYPES"
2388;1546300800;1580515199;"11329.2";484;;0;1;"01:00";"23:59";720;720;;"1,2,3"
2387;1580515200;4070908800;"11329.2";1024;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
4330;1622505600;4070908800;"11807.2";1796;1772;1;1;"01:00";"23:59";720;720;;"1,2,3"
4271;1617235200;1622505599;"11827.2";463;;0;1;"00:00";"23:59";720;720;;"1,2,3"
4270;1622505600;4070908800;"11827.2";1851;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
4856;1613347200;4070908800;"11828.1";665;463;1;2;"01:00";"23:59";720;720;;"1,2,3"
1924;1561507200;1561939199;"11828.2";665;;0;1;"01:00";"23:59";720;720;;"1,2,3"
4857;1561939200;1613347199;"11828.2";665;463;1;2;"01:00";"23:59";720;720;;"1,2,3"
5810;1671840000;4070908800;"11846.1";1344;863;1;1;"01:00";"23:59";720;720;;"1,2,3"
3126;1546300800;1577836799;"11846.2";583;;0;2;"01:00";"23:59";1200;;;"1,2,3"
3197;1577836800;1598918399;"11846.2";1344;863;0;2;"01:00";"23:59";1200;;;"1,2,3"
5811;1598918400;1671839999;"11846.2";1344;863;1;1;"01:00";"23:59";720;720;;"1,2,3"
4635;1561939200;1609459199;"11847.2";665;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
5862;1609459200;1672531199;"11847.2";2091;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
5911;1672531200;4070908800;"11847.2";2091;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
4633;1561939200;1609459199;"11849.2";665;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
5863;1609459200;1672531199;"11849.2";2091;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
5933;1672531200;4070908800;"11849.2";2091;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
