"RID";"FD";"TD";"KEY";"TAX_PROFILE";"SERVICE_PROFILE";"TP_CHECK";"CHECK_MODE";"TP_REPRICE";"TRANSIT_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"GEN_RAP";"TRANSIT_RAP";"PASS_RC_LESS_IC";"IOT_THRESHOLD";"IOT_DEBUG"
10588;1639526400;4070908800;"10027.2";0;;;;;1;;;;0;0;0;;0
10055;1614556800;4070908800;"10131.1";2;;;;;1;;;;1;1;0;;0
826;1562025600;4070908800;"10142.2";3;;;;;1;;;;1;1;0;;0
865;1546300800;4070908800;"11329.2";3;;;;;1;;;;1;1;0;;0
765;1561075200;4070908800;"11807.2";3;;;;;1;;;;1;1;0;;0
786;1561507200;4070908800;"11827.2";3;;;;;1;;;;1;1;0;;0
10006;1613347200;4070908800;"11828.1";3;;;;;1;;;;1;1;0;;0
10007;1561507200;1613347199;"11828.2";3;;;;;1;;;;1;1;0;;0
12088;1671840000;4070908800;"11846.1";2;;;;;1;;;;1;0;0;;0
9789;1546300800;1577836799;"11846.2";3;;;;;1;;;;0;0;0;;0
12089;1577836800;1671839999;"11846.2";2;;;;;1;;;;1;0;0;;0
827;1562025600;4070908800;"11847.2";3;;;;;1;;;;1;1;0;;0
828;1546300800;4070908800;"11848.2";3;;;;;1;;;;1;1;0;;0
829;1546300800;4070908800;"11849.2";3;;;;;1;;;;1;1;0;;0
832;1561939200;4070908800;"11850.2";3;;;;;1;;;;1;1;0;;0
833;1561939200;4070908800;"11851.2";3;;;;;1;;;;1;1;0;;0
834;1561939200;4070908800;"11852.2";3;;;;;1;;;;1;1;0;;0
835;1546300800;4070908800;"11853.2";3;;;;;1;;;;1;1;0;;0
846;1546300800;4070908800;"11855.2";3;;;;;1;;;;1;1;0;;0
9793;1562284800;1577836799;"11856.1";3;;;;;1;;;;1;1;0;;0
9792;1577836800;4070908800;"11856.2";2;;;;;1;;;;1;1;0;;0
849;1561939200;4070908800;"11857.2";3;;;;;1;;;;1;1;0;;0
850;1561939200;4070908800;"11858.2";3;;;;;1;;;;1;1;0;;0
866;1561939200;4070908800;"11867.2";3;;;;;1;;;;1;0;0;;0
11687;1546300800;4070908800;"12767.1";3;;;;;1;;;;1;1;0;;0
868;1546300800;4070908800;"12770.2";3;;;;;1;;;;1;1;0;;0
869;1546300800;4070908800;"12772.2";3;;;;;1;;;;1;0;0;;0
885;1546300800;4070908800;"12915.2";3;;;;;1;;;;1;1;0;;0
9791;1546300800;1577836799;"12926.2";3;;;;;1;;;;1;1;0;;0
9790;1577836800;4070908800;"12926.2";2;;;;;1;;;;1;1;0;;0
12406;1692748800;4070908800;"12927.1";3;;;;;1;;;;1;0;0;;0
12407;1561939200;1692748799;"12927.2";3;;;;;1;;;;1;0;0;;0
12486;1692748800;4070908800;"12928.1";3;;;;;1;;;;1;0;0;;0
12487;1561939200;1692748799;"12928.2";3;;;;;1;;;;1;0;0;;0
907;1564012800;4070908800;"12929.2";3;;;;;1;;;;1;1;0;;0
925;1546300800;4070908800;"12946.2";3;;;;;1;;;;1;1;0;;0
926;1546300800;4070908800;"12947.2";3;;;;;1;;;;1;1;0;;0
927;1546300800;4070908800;"12948.2";3;;;;;1;;;;1;1;0;;0
